evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569423200,1569423201,9.223372036854776e+18,"['b', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '128']",000_00000.dat,0,0.9948372840881348
1,1569423201,1569423202,9.223372036854776e+18,"['b', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '1', '2', '128']",000_00001.dat,0,1.5658726692199707
2,1569423202,1569423202,9.223372036854776e+18,"['b', 'a', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '1', '28', '3', '128']",000_00002.dat,0,2.04374098777771
3,1569423202,1569423204,0.114,"['a', 'c', 'a', 'b', 'a', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '256']",000_00003.dat,0,3.761990547180176
4,1569423204,1569423205,0.107,"['c', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b', 'static', '8', '2', '2', '256']",000_00004.dat,0,5.341922998428345
5,1569423206,1569423207,0.108,"['a', 'c', 'b', 'b', 'a', 'b', 'a', 'a', 'a', 'dynamic', '8', '4', '2', '256']",000_00005.dat,0,6.946970224380493
6,1569423207,1569423209,0.108,"['c', 'b', 'c', 'b', 'a', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '2', '256']",000_00006.dat,0,8.554338932037354
7,1569423209,1569423210,0.109,"['b', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'a', 'static', '8', '8', '3', '256']",000_00007.dat,0,10.056880235671997
8,1569423210,1569423212,0.111,"['b', 'c', 'c', 'a', 'b', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '3', '64']",000_00008.dat,0,11.765677213668823
9,1569423213,1569423214,0.109,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'a', 'static', '1', '4', '1', '32']",000_00009.dat,0,13.979142904281616
10,1569423216,1569423218,0.108,"['c', 'b', 'b', 'a', 'a', 'b', 'b', 'a', 'a', 'dynamic', '1', '8', '1', '256']",000_00010.dat,0,17.423604249954224
11,1569423219,1569423221,0.127,"['c', 'c', 'b', 'b', 'a', 'a', 'b', 'b', 'a', 'dynamic', '16', '2', '2', '256']",000_00011.dat,0,20.755424737930298
12,1569423223,1569423224,0.108,"['c', 'c', 'b', 'b', 'a', 'a', 'b', 'b', 'a', 'dynamic', '1', '2', '2', '256']",000_00012.dat,0,23.983174562454224
13,1569423226,1569423228,0.109,"['c', 'a', 'b', 'a', 'a', 'a', 'b', 'b', 'a', 'dynamic', '16', '14', '2', '256']",000_00013.dat,0,27.494842529296875
14,1569423230,1569423231,0.108,"['c', 'c', 'b', 'a', 'a', 'a', 'b', 'b', 'a', 'dynamic', '16', '1', '2', '256']",000_00014.dat,0,30.853797912597656
15,1569423233,1569423234,0.109,"['c', 'b', 'b', 'b', 'a', 'a', 'b', 'b', 'a', 'dynamic', '16', '14', '2', '256']",000_00015.dat,0,34.27663588523865
16,1569423236,1569423238,0.184,"['a', 'c', 'b', 'a', 'a', 'a', 'b', 'a', 'a', 'dynamic', '16', '28', '2', '256']",000_00016.dat,0,37.675158977508545
17,1569423240,1569423241,0.108,"['c', 'c', 'b', 'a', 'a', 'b', 'b', 'b', 'a', 'dynamic', '16', '28', '2', '256']",000_00017.dat,0,40.974547147750854
18,1569423243,1569423245,0.184,"['a', 'c', 'b', 'b', 'a', 'b', 'b', 'a', 'a', 'dynamic', '1', '14', '2', '256']",000_00018.dat,0,44.4186635017395
19,1569423247,1569423248,0.172,"['c', 'a', 'b', 'a', 'a', 'a', 'b', 'b', 'a', 'dynamic', '16', '1', '2', '256']",000_00019.dat,0,47.97577905654907
20,1569423250,1569423252,0.166,"['c', 'c', 'b', 'b', 'a', 'b', 'b', 'b', 'a', 'dynamic', '1', '1', '2', '256']",000_00020.dat,0,51.56361675262451
21,1569423254,1569423255,0.108,"['c', 'c', 'b', 'b', 'a', 'b', 'b', 'a', 'a', 'dynamic', '16', '16', '2', '256']",000_00021.dat,0,54.866618633270264
22,1569423257,1569423259,0.18,"['c', 'b', 'b', 'a', 'a', 'b', 'b', 'a', 'a', 'dynamic', '1', '4', '2', '256']",000_00022.dat,0,58.488906145095825
23,1569423261,1569423262,0.109,"['a', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'a', 'dynamic', '16', '8', '2', '256']",000_00023.dat,0,62.05788826942444
