evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1575321976,1575321976,9.223372036854776e+18,"['b', 'b', 'c', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'static', '8', '4', '1', '128', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'static', '8', '4', '1', '128']",000_00000.dat,0,0.37161779403686523
1,1575321976,1575321976,9.223372036854776e+18,"['b', 'd', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'a', 'static', '1', '14', '2', '64', 'b', 'a', 'b', 'c', 'b', 'b', 'a', 'static', '8', '4', '2', '32']",000_00001.dat,0,0.5580496788024902
2,1575321976,1575321976,9.223372036854776e+18,"['b', 'b', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'a', 'static', '16', '28', '2', '256', 'b', 'b', 'b', 'a', 'b', 'a', 'a', 'dynamic', '1', '28', '3', '32']",000_00002.dat,0,0.7872576713562012
3,1575321976,1575321976,9.223372036854776e+18,"['b', 'd', 'a', 'b', 'a', 'b', 'c', 'b', 'b', 'a', 'static', '1', '2', '3', '128', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'dynamic', '16', '4', '2', '32']",000_00003.dat,0,1.0228030681610107
4,1575321976,1575321977,9.223372036854776e+18,"['d', 'b', 'a', 'b', 'a', 'a', 'b', 'a', 'b', 'a', 'static', '1', '8', '3', '128', 'b', 'b', 'a', 'c', 'b', 'a', 'a', 'static', '8', '2', '3', '64']",000_00004.dat,0,1.21604585647583
5,1575321977,1575321977,9.223372036854776e+18,"['b', 'd', 'b', 'b', 'a', 'b', 'a', 'a', 'a', 'b', 'static', '1', '14', '3', '256', 'a', 'a', 'a', 'c', 'a', 'b', 'b', 'dynamic', '8', '28', '1', '256']",000_00005.dat,0,1.4447717666625977
6,1575321977,1575321977,9.223372036854776e+18,"['d', 'b', 'c', 'b', 'a', 'b', 'b', 'b', 'a', 'b', 'static', '8', '8', '3', '64', 'b', 'b', 'a', 'c', 'a', 'a', 'b', 'dynamic', '8', '16', '1', '64']",000_00006.dat,0,1.6305022239685059
7,1575321977,1575321977,9.223372036854776e+18,"['b', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'a', 'a', 'dynamic', '8', '28', '3', '32', 'a', 'a', 'b', 'b', 'a', 'b', 'a', 'dynamic', '1', '4', '3', '64']",000_00007.dat,0,1.8319382667541504
8,1575321977,1575321977,9.223372036854776e+18,"['b', 'd', 'c', 'a', 'b', 'b', 'c', 'b', 'a', 'b', 'static', '8', '28', '2', '128', 'b', 'a', 'b', 'b', 'a', 'a', 'a', 'static', '1', '2', '3', '32']",000_00008.dat,0,2.0471789836883545
9,1575321978,1575321980,0.508,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'static', '8', '2', '1', '32', 'a', 'a', 'a', 'b', 'b', 'a', 'b', 'static', '1', '2', '2', '128']",000_00009.dat,0,4.439094305038452
