evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1570199950,1570199951,9.223372036854776e+18,"['b', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '128']",000_00000.dat,0,1.1377074718475342
1,1570199951,1570199952,9.223372036854776e+18,"['b', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '1', '2', '128']",000_00001.dat,0,1.9092481136322021
2,1570199952,1570199952,9.223372036854776e+18,"['b', 'a', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '1', '28', '3', '128']",000_00002.dat,0,2.6563563346862793
3,1570199953,1570199954,9.223372036854776e+18,"['a', 'c', 'a', 'b', 'a', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '256']",000_00003.dat,0,3.9525809288024902
4,1570199954,1570199955,9.223372036854776e+18,"['c', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b', 'static', '8', '2', '2', '256']",000_00004.dat,0,5.266268491744995
5,1570199955,1570199956,9.223372036854776e+18,"['a', 'c', 'b', 'b', 'a', 'b', 'a', 'a', 'a', 'dynamic', '8', '4', '2', '256']",000_00005.dat,0,6.504892826080322
6,1570199956,1570199958,9.223372036854776e+18,"['c', 'b', 'c', 'b', 'a', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '2', '256']",000_00006.dat,0,7.8866050243377686
7,1570199958,1570199959,9.223372036854776e+18,"['b', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'a', 'static', '8', '8', '3', '256']",000_00007.dat,0,8.683627843856812
8,1570199959,1570199959,9.223372036854776e+18,"['b', 'c', 'c', 'a', 'b', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '3', '64']",000_00008.dat,0,9.4083890914917
9,1570199960,1570199998,37.478,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'a', 'static', '1', '4', '1', '32']",000_00009.dat,0,48.54226469993591
10,1570200000,1570200039,37.494,"['a', 'a', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'static', '1', '1', '1', '64']",000_00010.dat,0,88.81186008453369
