evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569424586,1569424587,9.223372036854776e+18,"['b', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '128']",000_00000.dat,0,1.195915699005127
1,1569424587,1569424588,9.223372036854776e+18,"['b', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '1', '2', '128']",000_00001.dat,0,1.687147855758667
2,1569424588,1569424588,9.223372036854776e+18,"['b', 'a', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '1', '28', '3', '128']",000_00002.dat,0,2.286412239074707
3,1569424588,1569424612,23.367,"['a', 'c', 'a', 'b', 'a', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '256']",000_00003.dat,0,26.443302631378174
4,1569424612,1569424636,22.465,"['c', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b', 'static', '8', '2', '2', '256']",000_00004.dat,0,49.64148211479187
5,1569424636,1569424659,22.379,"['a', 'c', 'b', 'b', 'a', 'b', 'a', 'a', 'a', 'dynamic', '8', '4', '2', '256']",000_00005.dat,0,72.76110196113586
