evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569424350,1569424352,9.223372036854776e+18,"['b', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '128']",000_00000.dat,0,1.1401512622833252
1,1569424352,1569424352,9.223372036854776e+18,"['b', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '1', '2', '128']",000_00001.dat,0,1.7620010375976562
2,1569424352,1569424353,9.223372036854776e+18,"['b', 'a', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '1', '28', '3', '128']",000_00002.dat,0,2.3859670162200928
3,1569424353,1569424354,0.206,"['a', 'c', 'a', 'b', 'a', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '256']",000_00003.dat,0,3.489973306655884
4,1569424354,1569424355,0.177,"['c', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b', 'static', '8', '2', '2', '256']",000_00004.dat,0,4.402031421661377
5,1569424355,1569424356,0.173,"['a', 'c', 'b', 'b', 'a', 'b', 'a', 'a', 'a', 'dynamic', '8', '4', '2', '256']",000_00005.dat,0,5.421516180038452
6,1569424356,1569424356,9.223372036854776e+18,"['c', 'b', 'c', 'b', 'a', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '2', '256']",000_00006.dat,0,5.921786308288574
7,1569424356,1569424357,0.18,"['b', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'a', 'static', '8', '8', '3', '256']",000_00007.dat,0,6.972294330596924
8,1569424357,1569424358,0.176,"['b', 'c', 'c', 'a', 'b', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '3', '64']",000_00008.dat,0,7.993729591369629
9,1569424359,1569424360,0.178,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'a', 'static', '1', '4', '1', '32']",000_00009.dat,0,9.51972484588623
10,1569424362,1569424363,0.177,"['a', 'c', 'a', 'b', 'a', 'a', 'b', 'a', 'a', 'dynamic', '8', '28', '3', '256']",000_00010.dat,0,12.486021518707275
11,1569424365,1569424366,0.205,"['a', 'c', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'dynamic', '8', '4', '2', '256']",000_00011.dat,0,15.285465478897095
12,1569424368,1569424368,0.176,"['a', 'c', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'static', '8', '14', '3', '256']",000_00012.dat,0,17.97921872138977
13,1569424370,1569424371,0.135,"['a', 'c', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'dynamic', '8', '4', '3', '256']",000_00013.dat,0,20.786770820617676
14,1569424373,1569424374,0.202,"['a', 'c', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'dynamic', '8', '14', '3', '256']",000_00014.dat,0,23.634130477905273
15,1569424376,1569424377,0.179,"['a', 'c', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'static', '16', '28', '3', '256']",000_00015.dat,0,26.38497042655945
16,1569424379,1569424380,0.176,"['a', 'c', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'dynamic', '8', '16', '3', '256']",000_00016.dat,0,29.36028814315796
17,1569424382,1569424383,0.181,"['a', 'c', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'dynamic', '8', '1', '1', '256']",000_00017.dat,0,32.17859625816345
18,1569424384,1569424385,0.172,"['a', 'c', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'dynamic', '8', '1', '3', '256']",000_00018.dat,0,34.954142570495605
19,1569424387,1569424388,0.176,"['a', 'c', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'static', '8', '16', '1', '256']",000_00019.dat,0,37.89818358421326
20,1569424390,1569424391,0.177,"['a', 'c', 'b', 'a', 'a', 'a', 'b', 'a', 'a', 'static', '8', '14', '1', '256']",000_00020.dat,0,40.67077374458313
21,1569424393,1569424394,0.19,"['a', 'c', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'static', '8', '4', '3', '32']",000_00021.dat,0,43.62032198905945
22,1569424396,1569424397,0.173,"['a', 'c', 'b', 'a', 'a', 'b', 'b', 'a', 'a', 'static', '8', '14', '3', '256']",000_00022.dat,0,46.54780650138855
23,1569424399,1569424400,0.178,"['a', 'c', 'b', 'a', 'b', 'a', 'b', 'a', 'a', 'static', '8', '4', '3', '256']",000_00023.dat,0,49.43452072143555
24,1569424402,1569424403,0.172,"['a', 'c', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'dynamic', '8', '14', '3', '256']",000_00024.dat,0,52.323628425598145
25,1569424405,1569424406,0.175,"['a', 'c', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'dynamic', '8', '4', '3', '256']",000_00025.dat,0,55.450477838516235
26,1569424408,1569424409,0.177,"['a', 'c', 'b', 'a', 'b', 'a', 'b', 'a', 'a', 'static', '8', '8', '3', '256']",000_00026.dat,0,58.35379910469055
27,1569424411,1569424412,0.178,"['a', 'c', 'b', 'a', 'b', 'b', 'b', 'a', 'a', 'static', '8', '4', '1', '256']",000_00027.dat,0,61.19262218475342
